Vardas                   Pavarde                  ND1       Egz.
Vardas814                Pavarde814               7         5
Vardas815                Pavarde815               10        3
Vardas816                Pavarde816               3         4
Vardas817                Pavarde817               8         5
Vardas818                Pavarde818               7         4
Vardas819                Pavarde819               5         0
Vardas820                Pavarde820               3         4
Vardas821                Pavarde821               10        9
Vardas822                Pavarde822               7         10
Vardas823                Pavarde823               4         4
Vardas824                Pavarde824               5         4
Vardas825                Pavarde825               3         4
Vardas826                Pavarde826               1         9
Vardas827                Pavarde827               2         8
Vardas828                Pavarde828               9         0
Vardas829                Pavarde829               0         9
Vardas830                Pavarde830               6         6
Vardas831                Pavarde831               1         2
Vardas832                Pavarde832               0         2
Vardas833                Pavarde833               5         8
Vardas834                Pavarde834               5         8
Vardas835                Pavarde835               8         10
Vardas836                Pavarde836               5         4
Vardas837                Pavarde837               10        8
Vardas838                Pavarde838               0         0
Vardas839                Pavarde839               4         7
Vardas840                Pavarde840               6         9
Vardas841                Pavarde841               10        4
Vardas842                Pavarde842               8         4
Vardas843                Pavarde843               5         2
Vardas844                Pavarde844               7         0
Vardas845                Pavarde845               7         5
Vardas846                Pavarde846               6         10
Vardas847                Pavarde847               9         9
Vardas848                Pavarde848               2         0
Vardas849                Pavarde849               9         0
Vardas850                Pavarde850               1         9
Vardas851                Pavarde851               2         4
Vardas852                Pavarde852               8         2
Vardas853                Pavarde853               4         4
Vardas854                Pavarde854               6         9
Vardas855                Pavarde855               8         8
Vardas856                Pavarde856               0         3
Vardas857                Pavarde857               9         6
Vardas858                Pavarde858               9         5
Vardas859                Pavarde859               4         2
Vardas860                Pavarde860               8         3
Vardas861                Pavarde861               7         4
Vardas862                Pavarde862               1         8
Vardas863                Pavarde863               3         10
Vardas864                Pavarde864               5         6
Vardas865                Pavarde865               5         1
Vardas866                Pavarde866               6         9
Vardas867                Pavarde867               2         6
Vardas868                Pavarde868               6         3
Vardas869                Pavarde869               1         3
Vardas870                Pavarde870               2         5
Vardas871                Pavarde871               9         5
Vardas872                Pavarde872               9         0
Vardas873                Pavarde873               6         4
Vardas874                Pavarde874               2         4
Vardas875                Pavarde875               10        3
Vardas876                Pavarde876               7         3
Vardas877                Pavarde877               0         1
Vardas878                Pavarde878               8         1
Vardas879                Pavarde879               0         9
Vardas880                Pavarde880               10        1
Vardas881                Pavarde881               6         3
Vardas882                Pavarde882               1         4
Vardas883                Pavarde883               10        3
Vardas884                Pavarde884               6         1
Vardas885                Pavarde885               10        6
Vardas886                Pavarde886               8         9
Vardas887                Pavarde887               9         3
Vardas888                Pavarde888               1         4
Vardas889                Pavarde889               10        3
Vardas890                Pavarde890               1         4
Vardas891                Pavarde891               6         6
Vardas892                Pavarde892               5         2
Vardas893                Pavarde893               2         4
Vardas894                Pavarde894               6         2
Vardas895                Pavarde895               4         8
Vardas896                Pavarde896               10        6
Vardas897                Pavarde897               5         3
Vardas898                Pavarde898               3         10
Vardas899                Pavarde899               2         7
Vardas900                Pavarde900               2         4
Vardas901                Pavarde901               2         6
Vardas902                Pavarde902               6         3
Vardas903                Pavarde903               9         1
Vardas904                Pavarde904               5         2
Vardas905                Pavarde905               7         0
Vardas906                Pavarde906               0         4
Vardas907                Pavarde907               10        9
Vardas908                Pavarde908               1         4
Vardas909                Pavarde909               7         0
Vardas910                Pavarde910               0         2
Vardas911                Pavarde911               0         6
Vardas912                Pavarde912               10        10
Vardas913                Pavarde913               2         3
Vardas914                Pavarde914               10        10
Vardas915                Pavarde915               8         1
Vardas916                Pavarde916               1         0
Vardas917                Pavarde917               8         4
Vardas918                Pavarde918               1         10
Vardas919                Pavarde919               5         6
Vardas920                Pavarde920               1         7
Vardas921                Pavarde921               5         2
Vardas922                Pavarde922               2         7
Vardas923                Pavarde923               7         0
Vardas924                Pavarde924               3         10
Vardas925                Pavarde925               6         5
Vardas926                Pavarde926               1         2
Vardas927                Pavarde927               3         9
Vardas928                Pavarde928               0         10
Vardas929                Pavarde929               8         1
Vardas930                Pavarde930               5         2
Vardas931                Pavarde931               4         4
Vardas932                Pavarde932               6         8
Vardas933                Pavarde933               10        0
Vardas934                Pavarde934               2         6
Vardas935                Pavarde935               1         6
Vardas936                Pavarde936               4         1
Vardas937                Pavarde937               3         10
Vardas938                Pavarde938               7         3
Vardas939                Pavarde939               3         5
Vardas940                Pavarde940               1         3
Vardas941                Pavarde941               10        10
Vardas942                Pavarde942               9         7
Vardas943                Pavarde943               6         8
Vardas944                Pavarde944               5         8
Vardas945                Pavarde945               0         6
Vardas946                Pavarde946               0         2
Vardas947                Pavarde947               5         8
Vardas948                Pavarde948               0         4
Vardas949                Pavarde949               7         10
Vardas950                Pavarde950               4         6
Vardas951                Pavarde951               2         1
Vardas952                Pavarde952               3         8
Vardas953                Pavarde953               3         3
Vardas954                Pavarde954               8         7
Vardas955                Pavarde955               5         5
Vardas956                Pavarde956               2         3
Vardas957                Pavarde957               1         3
Vardas958                Pavarde958               2         8
Vardas959                Pavarde959               5         6
Vardas960                Pavarde960               9         5
Vardas961                Pavarde961               7         2
Vardas962                Pavarde962               8         2
Vardas963                Pavarde963               8         5
Vardas964                Pavarde964               8         6
Vardas965                Pavarde965               2         7
Vardas966                Pavarde966               0         2
Vardas967                Pavarde967               7         8
Vardas968                Pavarde968               1         10
Vardas969                Pavarde969               10        6
Vardas970                Pavarde970               6         6
Vardas971                Pavarde971               10        1
Vardas972                Pavarde972               7         5
Vardas973                Pavarde973               5         7
Vardas974                Pavarde974               8         8
Vardas975                Pavarde975               0         1
Vardas976                Pavarde976               5         4
Vardas977                Pavarde977               1         10
Vardas978                Pavarde978               3         9
Vardas979                Pavarde979               2         8
Vardas980                Pavarde980               4         9
Vardas981                Pavarde981               9         3
Vardas982                Pavarde982               4         9
Vardas983                Pavarde983               3         6
Vardas984                Pavarde984               0         10
Vardas985                Pavarde985               7         8
Vardas986                Pavarde986               2         3
Vardas987                Pavarde987               0         3
Vardas988                Pavarde988               7         1
Vardas989                Pavarde989               8         10
Vardas990                Pavarde990               5         7
Vardas991                Pavarde991               1         7
Vardas992                Pavarde992               5         1
Vardas993                Pavarde993               6         1
Vardas994                Pavarde994               1         5
Vardas995                Pavarde995               2         8
Vardas996                Pavarde996               9         3
Vardas997                Pavarde997               3         0
Vardas998                Pavarde998               4         2
Vardas999                Pavarde999               9         10
Vardas1000               Pavarde1000              5         3
